example_id,conversation_id,customer_message,support_reply,intent,escalation,escalation_reason_,predicted_intent,intent_source,predicted_escalation,escalation_source
100,f57e6804d8ba913cec8f05a911bde099,... went 0-2 yesterday on both my flights rather publicly express how do we talk privately on the up was on time like always âœˆï¸ðŸ‘,Use the link to send us a message with details.  https://t.co/xSmyP82QpO,other,human,Customer reports an unclear issue and requests private assistance,other,ml,human,ml
101,4ee9e12e10282dea69e376d12306c65c,necesito ayuda porque no consigo recordar mi seÃ±a,Haga clic en el enlace de contraseÃ±a olvidada que se encuentra debajo de su registro y puede restablecerlo.,account_app,auto,General password reset request,account_app,ml,auto,ml
102,529ffd171d9efca5a39cd79ddbc44884,Please do flights to CLE,Princess! Your wish is our command. We do offer a handful of flights to CLE and we're hopeful more will be added in the future. You can check out our routes here:  https://t.co/PrfjygEmUd,booking,auto,General request for service to a destination,booking,ml,auto,ml
103,8a9822c042c862ea9f11847069e57a72,How much do I need to pay @JetBlue to get a landing at the same glideslope as a Space Shuttle?,That would be incredible!,other,auto,Humorous/general comment with no support action required,other,ml,auto,ml
104,11508c64e19094d3904bfea41f901ff6,Thanks @JetBlue for making my mom cry for an entire 3 hour flight. Worst service ever.,We're so sorry to hear that. Please send us more information in a direct message.  https://t.co/xSmyP7Lfyg,other,human,Serious service complaint requires human attention,other,ml,human,ml
105,12c3171432eb3431abae3279b4ca729b,why is flight 2601 delayed ? Will it get out ?,...you in the air! 2/2,flight_delay,auto,Asking about the cause and expected outcome of a flight delay,flight_delay,rule,auto,ml
106,c425a4c64159c188219f299ad9eec697,"Hey, @JetBlue whatâ€™s with the boarding groups? I liked you better when you boarded by seat number on the plane. Whatâ€™s going on?",Our new group boarding process will have you on your way even faster and easier! You can learn more here https://t.co/X41AJxdACk. ðŸ˜Š,boarding_airport,auto,General question about the group boarding process,boarding_airport,rule,auto,ml
107,6287bd6984406ce77c9abca9ab06ceb6,"Wow, look how @JetBlue greeted my aunt on her way to board a flight back home to the motherland. Itâ€™s the little things people, it can make a world of a difference. â¤ï¸ðŸ™ðŸ¼ https://t.co/3KZ4S3fMYy",Great photo!,other,auto,Positive customer feedback,other,ml,auto,ml
108,a984f6ada9b9f5867f9c3541d7e8d9ae,really sad that Jet Blue cannot make sure they follow instructions regarding meet and assist for a 96 year old.,"We're sorry to hear this, Mary! Would you mind telling us what happened via DM?  https://t.co/xSmyP7Lfyg",boarding_airport,human,Meet-and-assist failure involving an elderly passenger requires assistance,boarding_airport,ml,human,ml
109,c862ee15cbb358aa71825b21ef45cca1,JFK-&gt;CLT Flt 219. 1st Officer Scottâ€™s personal announcement to passengers this morning was entertaining. More crew like this :),"Sounds like a great way to start the day! Thanks for sharing this, Xavier. We'll be sure to pass this along for Scott.",other,auto,Positive feedback about flight crew,other,ml,auto,ml
110,75093643ac43caa041d15471bd2004dc,"almost missed another flight with you because my ticket had the wrong boarding time again. A digital ticket...shouldnâ€™t it auto update? Also, your gate agent scolded me and told me how I was in the wrong for showing up at the time on my ticket. Whatâ€™s going on? #JetBlue","We're sorry to hear this. Are you accessing your boarding pass via the JetBlue app or was it sent to you via text? If you'll DM us your confirmation code, we can take a look at your reservation for you.   https://t.co/xSmyP7Lfyg",boarding_airport,human,Incorrect boarding information and reservation-specific issue require investigation,boarding_airport,rule,human,ml
111,2b1c6cedeaf9571589e3dc9d51ba20e5,some flights from SJU to JFK being cancelled... what is the reason to this? I'm afraid mine to PA might get cancelled.,"Hey, they've been cancelled primarily due to the hurricanes and their lingering impact on the airport.",cancellation,auto,Asking why flights are being cancelled and whether cancellation may occur,cancellation,ml,auto,ml
112,dd79e63f07b9c121932c80d23927b9e6,Hey! Have you resumed flights to PSE &amp; BQN?,We've started to operate to and from both of these airports. You can check online or by phone for available flights.,booking,auto,Asking whether flights to specific airports have resumed,booking,ml,auto,ml
113,40dd2938f55f17e7bb3e7edf96823ea1,is your online check-in system down or is it just me? Got error. https://t.co/kD4v6W9jj0,Everything seems okay on our end. DM us your confirmation code and we'll take a closer look. Thanks!,account_app,human,Online check-in system error requires investigation,account_app,rule,human,ml
114,b90b948d0e863a00e4235b66ec155b7f,What a time management @JetBlue waiting on jfk for last 12 hours and flight keep on delaying,We now it's frustrating to wait through flight delays. We are working hard to get everyone on their way as quickly as possible.,flight_delay,human,Extended repeated delays require flight-specific assistance,flight_delay,rule,human,ml
115,2236be8caa2bca416451169397540c74,"hard to have 2hr delay for 283 at jfk and have to wait for catering when boarding is complete. Great Gate 8 crew, though!","Sorry about the delay tonight! We know the wait can be rough, especially during the holidays. Thanks for hanging in there with us, Charlie!",flight_delay,auto,General complaint about a two-hour flight delay,boarding_airport,rule,human,ml
116,f26059ca9a2e77a99bd6a44de1483dbf,Hey @JetBlue flight 597 sitting on runway in SEA waiting for gate for last 90 minutes. What's the problem?,"It looks like we're just waiting for a gate to open up. We should have you off the plane shortly, Rob!",flight_status,human,Specific flight is waiting for a gate and requires operational assistance,flight_status,ml,human,ml
117,79392b2fc6a63375ecf46fa2d0c10be3,"Dear @JetBlue, please consider installing bottle-fill water fountains at @125872 #TerminalC. Thanks! #green","@125872 Hi Rick! Thanks for the suggestion, we'll be sure the team sees your note.",boarding_airport,auto,General airport facility suggestion,boarding_airport,ml,auto,ml
118,f25a020e56f66a06c3c0faa108357da9,Can you message me I need you like now @JetBlue ðŸ˜©,Hi Anna! Tell us how we can help here:  https://t.co/xSmyP7Lfyg,other,human,Customer requests immediate assistance but does not specify the issue,booking,ml,human,ml
119,8bb69bea74286f87456ee10e33c840a4,JetBlueâ€™s flyfi is so fast ðŸ˜ðŸ˜ðŸ˜,Fast is our middle name... ðŸ˜‰ðŸ˜† https://t.co/fiVRnkx3YP,inflight_services,auto,Positive feedback about Fly-Fi,inflight_services,ml,auto,ml
120,c60506f57bb3a69f720c17be478ee9a7,Not feeling the love@JetBlue 3 hour delay so far &amp; no pilot to fly the plane. Info has been poor. Disappointing. Need to get to work.,We know delays are hard. What's your flight number? We can take a closer look.,flight_delay,human,Active delay with poor communication requires assistance,flight_delay,rule,human,ml
121,9f0ad146574fc1a8b00c788da4232648,So glad not a single one of my @JetBlue flights have left on time this trip,Oh man. Delays are frustrating. Thanks for hanging in there with us.,flight_delay,auto,General complaint about repeated delays,flight_delay,ml,auto,ml
122,ade556bf954c7cd38cb367609a082fd7,steward couldâ€™ve spoken 2 me or my partner who was awake in the aisle seat but chose 2 simply hit me instead WTF?! @86714,"@86714 Sorry to hear about your experience, Eileen. Would you send us a DM with your confirmation code?  https://t.co/xSmyP7Lfyg",inflight_services,human,Complaint about onboard crew interaction requires attention,inflight_services,ml,human,ml
123,4d915c58588528e418fe54760435ec32,No location for Baggage Service Office â€” the wrong zipper pull disappeared! (@ DCA Jet Blue Baggage Claim) https://t.co/nasDwTv9lT,Our baggage claim is located in Terminal B at Carousels 5 and 6 at DCA.,baggage,auto,Asking for the location of the baggage service office,baggage,rule,auto,ml
124,812a4b42769cb3e95875a62ad90e27a3,Wow first time a airline didnt allow early boarding for veterans &amp;denied when asked.MBJ- JFK today at 2pm gate 16. spread the word,We appreciate you bringing this to our attention.,boarding_airport,human,Complaint about denied veteran early boarding,boarding_airport,rule,human,ml
125,5387241957e449ab627283e8fb027d76,hi what is the price to documento a suitcase,"If your fare does not include a checked bag, the first bag fee is $25. For more information, see https://t.co/d0qXUhCzP9",baggage,auto,General question about checked baggage pricing,baggage,ml,auto,ml
126,95322c02ae4578da85d8a460732e1940,I would be sitting in a @JetBlue seat with a busted tv monitor - delayed flight now this #justmyluck,"We know that's frustrating, especially after a delay. Please reach out to an inflight crewmember to see if they can reseat you. If not, let us know and we can issue you a $15 credit for the inconvenience.",inflight_services,human,Broken inflight entertainment system with possible compensation,inflight_services,rule,human,ml
127,838b508a565b707315f66691bd248b6d,"if I use my JB card on a partner airline, do I still earn 3X the points?",...crewmembers will be happy to go over more details. 2/2,loyalty_rewards,auto,General question about earning points with the JetBlue card,loyalty_rewards,ml,auto,ml
128,78b283f3d73f4eea6efd059d8620bbe5,Pretty upset @JetBlue didn't give me my free checked bag that's promised with the jet blue credit card,"Hi, Katy. The free checked bag comes with the JetBlue Plus Card. Is that the one you have?",loyalty_rewards,human,Card benefit is not being applied and requires account-specific investigation,baggage,rule,human,ml
129,054f695a31953c71a53eeee34a7594cd,what time of the year would your flights for end of June/early July 2018 be released?,Please check back with us later this month.,booking,auto,Asking when future flights will be released for booking,booking,ml,auto,ml
130,c519fa8568860bee4096050111f74dd4,How can I get a receipt for cancellation fee?  I tried to get receipt from website but it showed what I originally purchased. Thanks!,"When did you cancel your reservation? It can take up to 72 hours from the time the fee was charged before it will show on a receipt. If you DM us your confirmation code, we'll be happy to take a look.  https://t.co/xSmyP7Lfyg",refund,human,Reservation-specific cancellation-fee receipt issue requires investigation,refund,ml,auto,ml
131,dde38e38dbeb963cc3b4239be9022d3d,how early should i be at the SJU airport for a 9am flight out with handicapped passengers?,Please arrive at least 3.5 hours prior to your flight. Thanks for checking!,boarding_airport,auto,General question about recommended airport arrival time,boarding_airport,rule,auto,ml
132,d5ad31dd0488f1fc0d24b9f9642cb6be,on flight 997 asked for a drink three times and someone keeps forgetting us. Care to help out?,"We're very sorry to hear this! Unfortunately, we can't help from down here. Please press the call button above your seat.",inflight_services,human,Customer needs assistance with an active onboard service issue,inflight_services,ml,human,ml
133,c899c967b75d664b129a0a3e094cf7de,Where did evening flight 760 PHL--&gt;BOS go? Is this no longer? â˜¹ï¸,Hi Ashley! When exactly are you searching for? We'll see if it's still a part of our schedule.,booking,auto,Asking whether a particular flight remains in the schedule,booking,ml,auto,ml
134,45453b7ba85e0705461287f5bf3d216b,Thank you JetBlue for cancelling my flight yesterday and then sending every JetBlue Employee home so thereâ€™s no one to speak to. ðŸ¤™ðŸ»,"Sorry to hear, Ryan. Is there something we can do to help you via Twitter?",cancellation,human,Cancelled flight and lack of airport assistance require human attention,other,rule,human,ml
135,fab77623e455a0ee4aeedb93218d9075,when will the rest of June 2018 flights be released?,"We haven't been given an update yet, but we'll keep you posted!",booking,auto,Asking when future flights will be released for booking,booking,ml,auto,ml
136,28081df696c08a5665118e43b1296175,"Sent boarding pass to my phone, but also want to print out. Boarding pass button now inactive and can't access. How can I print?","You should be able to print that from your home computer at https://t.co/ve6W6SF3Ip. Or, it can also be printed at an airport kiosk.",boarding_airport,auto,General boarding-pass printing/access instructions,boarding_airport,rule,auto,ml
137,9681259913bdd8428bc56852ccc8bedf,why are you delaying every flight I'm on? Flight #785,"F785 is currently awaiting ATC clearance. We'll have you on your way as soon as we can, as JFK is undergoing quite a bit of construction.",flight_delay,auto,Specific flight delay can be explained using current flight information,flight_delay,rule,auto,ml
138,a32362d214bf73c2f0432b2d6ade73d1,status for flight 238 out of MCO???,Flight 238 has been delayed due to security issues in the airport. Your current EDT is 10 tonight but you'll want to keep an eye on it.,flight_status,auto,Request for the current status of a specific flight,inflight_services,ml,auto,ml
139,2a600dcf486c498c4a5dc9c8664fd9d5,"2/ in this day and age of airline travel i have to say i was floored that @jetblue would waive more than $600 in change fees to help us at a stressful time. i travel all the time, and will loyal to this airline form here on out. not all corporations are faceless.",Awe! We really appreciate the kind words and we're glad to help when we can. We hope your toddler is feeling MUCH better. ðŸ’™ðŸ’™ðŸ’™,other,auto,Positive feedback about JetBlue support,other,ml,human,ml
140,29a98bea5e8f8a38a9e010177129bb5e,"Hey @JetBlue, if I'm logged in, the front page of your site has a ""check in"" link that asks me for my info all over again. Why?","To clarify, are you on the website or the app?",account_app,auto,General question about website check-in behavior,inflight_services,ml,auto,ml
141,2e32c93583654a6a8649890c58b11af5,I want the $ back I paid for Even More.i was made to wait until Group https://t.co/MFjydmYf0M clearly donâ€™t care about people with document to disabilities,"Hi, Ashlie. Sorry to hear that. Send us your confirmation code via DM and we'll take a look.",refund,human,Customer requests a refund for a paid service and reports disability-related boarding issue,other,ml,human,ml
142,6801b99f3cd098abf49138ab5b5dc37b,.@JetBlue your in-flight and check in customer service has been rude and inefficient recently. Really disappointing.,We're sorry to hear you say that. Can you give us some specific feedback?,other,human,Broad customer-service complaint requires human attention,account_app,rule,human,ml
143,063f9d8a2627bd61a5ff6485b8c06570,is the @162833 game blacked out on today's flights?,"@162833 Hi, Robin. We're not aware of any games been blacked out. If it's aired on one of our channels, you should be able to watch it.",inflight_services,auto,General question about inflight entertainment availability,inflight_services,ml,auto,ml
144,dedcc3b22f1dff3c332fce711254383d,my first flight as Mosaic and the whole plane seemed to board when they called Mosaic. Not feeling that special.,...called. Which airport were you at? 2/2,loyalty_rewards,human,Mosaic boarding benefit complaint requires investigation,loyalty_rewards,rule,human,ml
145,1bc8bb6d5cea2bf569bc18fe86a936ac,So this was my 1st time with @JetBlue and I absolutely loved it!!!  Such a serious yet friendly airline!! ðŸ›«ðŸ—½ðŸ’œðŸðŸ›¬ #bestairline,"We're so glad to know you had a great trip! Thanks for taking to the skies with us, we hope we'll see you onboard again soon!",other,auto,Positive customer feedback,other,ml,auto,ml
146,12787ad289b301abaf296da5da60d4ed,When i get treated as i deserved i need to let the world know. Thank you @JetBlue #jetblue the agent was great. ðŸ‘ðŸ½ðŸ‘ðŸ½ðŸ‘ðŸ½ https://t.co/BgGI276h9g,We love hearing this and we're pretty sure the agent that helped you will too.,other,auto,Positive feedback about a JetBlue employee,other,rule,auto,ml
147,f24f9681192612764f31b7561ffdaf0f,With these new ads on the @429805 Can we get extra points when we use our trueBlue cards to purchase passes and fares on the T? ðŸ˜ƒ https://t.co/dy6VKCldqD,Wellllll.....how about this https://t.co/mwnRiy0i9f instead. ðŸ˜‰,loyalty_rewards,auto,General question about earning TrueBlue points,loyalty_rewards,rule,auto,ml
148,d820fdddb65bdd9c6dab221e2209a930,"Hi @JetBlue just an FYI, audio plugs shouldn't be broken on a one year old plane (flt 688, 22F)","Hi there, Rob. Sorry to hear that. Try pulling the headphone adapter out of the jack about 1/4 inch. That may help.",inflight_services,auto,Simple troubleshooting for an inflight audio issue,inflight_services,ml,auto,ml
149,f74b3e57c758bc21aba7fb41fb2a03ee,has free inflight WiFi so Iâ€™m never taking any other airline ever,Sounds good to us! #FlyFiRocks,inflight_services,auto,Positive feedback about free inflight Wi-Fi,inflight_services,rule,auto,ml
150,147aa6ec56e1e8769d7624b55873d3b5,you guys have delayed my fight 4 times today and no one can tell me why. Whatâ€™s the deal vro?,What's your flight number? We'll check on this.,flight_delay,human,Multiple delays with no explanation require flight-specific assistance,flight_delay,rule,human,ml
151,16ae5b94d47615e5c30a940a002df2d1,"whatâ€™s up with no flights to TPA from SJU? Family coming on the 17th, now I have to drive 3 1/2 hours to FLL, to pick them up vs 1 hour to TPA. We are happy to get them out!",Flights are still somewhat limited in Puerto Rico. We've had to make some changes to sustain overall operations.,booking,auto,Question about availability of a route,flight_delay,ml,auto,ml
152,c123883487403967d1dad83c6b5c9c30,"Had two great flights on @JetBlue quick, inexpensive and spacious! Thank you for making our trip from Boston to Atl &amp; back enjoyable!",ðŸ˜Š,other,auto,Positive feedback about flights,other,rule,auto,rule
153,d9c0e35b7e25fb8ee1f7c7d04d0ba5c4,can I check in a box as checked baggage?,Depends on where you are flying to. Visit  https://t.co/z1vRAG4V8Y and scroll down the page for details. Thanks for checking in with us on this :),baggage,auto,General question about checking a box as baggage,baggage,rule,auto,ml
154,24ca7e56b99ca94f55b69f1fd70b3d03,you did it again...customer first....customer happy....customer for life! Thank you. #awesomesauce,We're glad to hear you got the assistance you needed!,other,auto,Positive customer feedback,other,rule,auto,ml
155,20a615c910a4a5fd7be8d0d76abbd179,"JetBlue FLL &gt; ORD service tonight is ridiculous. Fl 566 is more than 3 hours late, then we board &amp; deplane?! You know I'm a fan but UGH.",...soon as possible. 2/2,flight_delay,human,Severe delay followed by deplaning requires assistance,flight_delay,ml,human,ml
156,a9ef2523ea022b759d59ab7d395c3996,"I got a brochure from @JetBlue promising 5,000 miles points if I called them and told them my card number. It's either phishing or stupid.","That doesn't sound right, Kevin. Would you please DM a picture of the brochure?   https://t.co/xSmyP7Lfyg",loyalty_rewards,human,Suspicious loyalty-points communication requires investigation,loyalty_rewards,ml,human,ml
157,556b90b2bc4ba0c6a63375d938601d14,Thankful to @Jetblue Crew onboard flight 748 and all across the network providing #exceptionalservice today #HappyThankgiving,"Thanks so much for flying with us today, Greg! We hope you're having a wonderful holiday.",other,auto,Positive feedback about crew,other,ml,human,ml
158,018525f4b61998e31c4a2c54a3bfdb6b,.@JetBlue why are you selling seats that don't have working TV's? That was the whole point of flying with you.,2/2 https://t.co/xSmyP7Lfyg,inflight_services,human,Seats sold with non-working TV require assistance,inflight_services,rule,human,ml
159,1e6f95fe807ff20aa3819a4d4db63693,Iâ€™m a standby (10 on the list) on your 3:10 flight from JFK to CHS. Am I going to get bumped?,"Hi there! Please check with our airport crew, as they manage standby listings.",flight_status,human,Standby passenger needs flight-specific boarding confirmation,flight_status,ml,human,ml
160,163d0cf998c8b2d5e14b39b207de0d63,"yesterday flight was canceled, now a engine test, why load half the people on the plane?",We understand the frustration with the delay. We are continuing to work to make sure that everything is good to go to safely make the flight,cancellation,human,Cancelled flight combined with operational disruption,cancellation,ml,human,ml
161,a89d0a00bf4c8c8b582511ba5121d841,"As much as I usually love @JetBlue, a 2.5 hr delay always sucks âœˆï¸",We hear you. :/ Thanks for hanging in there!,flight_delay,auto,General complaint about a flight delay,flight_delay,rule,human,ml
162,80e77a83808f0fc6acc4d41c9f9f3eb1,easy 2 b mad when tiny markets like #BTV get stuck thanx to #JFK. Greg made missing my connection okay. Heâ€™s so great heâ€™s magic!,"Thanks for sharing this, Kristin! We appreciate you hanging in there.",flight_delay,human,Delay caused a missed connection,inflight_services,rule,human,ml
163,c10387e8d23abc1d5892aa7cac1b345f,Can you please advise on whats going on with JB 1031? is it ever going to take off? thanx,"It looks like you're finally on your way, sorry for the holdup. Enjoy your time in the air.",flight_status,human,Customer needs current status of a specific flight,flight_status,ml,human,ml
164,e85e5f8b485ea82b6c0b276aadfcc240,Operation @jetblue is a success! The girl has cookies + @28582 while I have #coffee + wifi. Thx to all who suggested we give it a whirl!,@28582 Yes! We're glad you're enjoying your flight.,inflight_services,auto,Positive feedback about snacks and Wi-Fi,inflight_services,rule,auto,ml
165,bec435523b0c4de19696349691fe8695,I think it's time for a refurb! Seats are gross... https://t.co/GQmhBc984U,We don't like seeing that. Please speak with an inflight crewmember to see if there is another seat available. When you get a moment please let us know your flight number.,inflight_services,human,Poor seat condition requires service attention,booking,ml,human,ml
166,d8b314ac018a1a779e609aa51926aefb,canâ€™t access my travel bank on a mobile device. When I click from your FAQ page it takes me to an error page. ðŸ˜•,"Sorry to hear this! Are you booking a flight, or do you need to check on your balance?",travel_credit,human,Travel Bank access produces a website error,travel_credit,rule,human,ml
167,adce5b26c912052bbbd99f9b6767cc57,our tvs have been like this on our whole 6 hour flight ðŸ˜¢ðŸ’” https://t.co/tkLi4QdL0J,"Sorry about that, Kate. You should be receiving a credit via email.",inflight_services,human,Inflight TV failure throughout the flight,inflight_services,rule,human,ml
168,ea5f39c3cb2ba7b63aa23c059cf0c42e,"please HELP. Arrived in FLL on 1701 over 3 hrs ago, connecting to BOG on AV37 and suitcases not there!!!","So sorry to hear this, Maria. Did you file a claim with the Baggage Office in FLL?",baggage,human,Missing baggage after arrival requires investigation,baggage,ml,human,ml
169,84f455ea038bd65573207c000b3061df,"- Hi I'm going to a golf outing, how much does it cost to check my golf clubs on Jet Blue?  What happens if my clubs are damaged during the flight?","Hey! There are no additional costs for checking golf clubs, as long as they meet the standard weight restrictions. We're not liable if they're damaged, so we advise they be packed in a hard sided container. Here's a link with more information:  https://t.co/9sf0dd5Im6",baggage,auto,General question about baggage fees and damage policy,baggage,ml,auto,ml
170,c559e564af01a59f921d89c7601cc68c,can you help @721194 make a bicycle donation to Puerto Rico? #100x35 #jetblue #bicyclesastransportation,"@721194 We don't ship cargo. If you are flying there, we are waiving baggage fees for customers. Visit  https://t.co/0Em9iinZBx for details.",other,human,Special transportation/donation request requires assistance,other,ml,human,ml
171,428f14acf3faa53bf87c7a07dd0e51f7,When @JetBlue tells you that you can have as many snacks as you want - https://t.co/ytdXjaIE8J,Enjoy!,inflight_services,auto,General positive comment about onboard snacks,inflight_services,ml,auto,ml
172,785d7c335305d6aaec65227ef0177dcb,Frustrated that if I need to change a trip to Puerto Rico (which is obviously lacking the infrastructure for vacations) I can only use credit for a travel package and not towards JetBlue airfare! Won't use JetBlue vacation packages again!,"Hi, Lexi. We're sorry for the frustrating experience. Vacation packages have different rules and guidelines. Please reach out to our Vacations team if you need any assistance.",travel_credit,human,Complaint about restrictions on using travel credit,other,ml,auto,ml
173,8b2481d2f9e7bdca31e82627f7c1e7c5,whatâ€™s going on with the canceled flights from #Aguadilla #BQN ?  Is there problems with the airport??? Canâ€™t seem to find more information about the cancellation.,Hi Joannie. There are still some operational limitations that we're working around. Have you been rebooked?,cancellation,auto,Asking why flights from an airport are cancelled,boarding_airport,rule,auto,ml
174,db0fa9f0cdccc02959c3301255aef1fc,Arrived at @2324 via @JetBlue flight #341.... no one knows which belt our bags will be delivered. After 1 hr still no bags...ðŸ˜®,@2324 Sorry to hear that. We'll make sure to contact the airport so you and your bags can reunite ASAP. Try to hang in there!,baggage,human,Bags have not arrived after landing,baggage,rule,human,ml
175,1a112b40df3f88f5839eccbf528c6b43,"Just booked a few days to Florida for $80 round trip! I love you, @JetBlue ðŸ˜",Woo! #LoveYouBack,booking,auto,Positive comment about a completed booking,booking,ml,human,ml
176,a2ad1cd5041b8113aa5b8133e01eb714,#JetBlue Lost my phone. Staff is not at all supportive. I'm in trouble. Please help.,Did you lose your phone on the aircraft? Please fill out a lost and found report and we'll be in touch if it turns up. https://t.co/A6EzSgQPxv,baggage,human,Lost personal item requires investigation,other,ml,human,ml
177,e2c0944d5564ae4b8ddb960daa931fd5,Don't fly @Jetblue they don't care about their client all they care about is their money #FJB - no one is capable of making things right,We understand your frustration. Please reach out to our Central Baggage Services at 866-538-5438 for an update on your claim.,other,human,Broad unresolved service complaint,other,ml,human,ml
178,c55f848a4dc27c7fa92a3b4ddf978e2f,"Third time in a row flying @JetBlue and my tv didnâ€™t work, Boston to San Fran with nothing but my thumbs for entertainment. Thanks JetBlue!ðŸ™„",We're sorry to hear that. Please send us your confirmation code via DM so we can issue you a credit.,inflight_services,human,Repeated inflight TV failure,inflight_services,rule,human,ml
179,d806f880c65db9f5e10b375e6aada228,"since when is a flight delay ""great news"" ? ðŸ™„ https://t.co/AXd3q6JEae","Hi, Brianna. We're not able to see the pic you attached. What's the flight number?",flight_delay,auto,General comment about a flight delay,flight_delay,rule,auto,ml
180,ee461b66a952b50ccab4370ed2729631,seriously I donâ€™t know why I do this to myself. Delayed and I will miss my connection to Bogota. https://t.co/yDExUFprlJ,"Sorry to hear this, Rich. Please DM for rebooking.  https://t.co/xSmyP7Lfyg",flight_delay,human,Delay is causing a missed connection,flight_delay,rule,human,rule
181,09b963f147f1baa62f14e702160fb326,"My JetBlue account was hacked and all my upcoming trips was cancelled in order to fill up travel bank! Spend hour with representative to fix it, but itâ€™s really disturbing and stressful experience, especially when my trips are work related!",Oh no! We're so sorry to hear that! Were you able to  speak with a supervisor? Did you make sure to check your other accounts associated with that email address?,account_app,human,Account was compromised and trips were cancelled,account_app,rule,human,rule
182,7c54ab6ee03e1234842c9a8c6d6d5375,we would love to share our city guides with your flyers! how can we make this happen?,"Hey, thanks for reaching out. DM us your request using this link  https://t.co/xSmyP7Lfyg",other,auto,Business partnership/content inquiry,other,ml,human,ml
183,34fd8f09784a531f2f716318d75ce148,Flag bandana âœ”ï¸ Treats in mom's purse âœ”ï¸âœ”ï¸  Ready to fly! #bostonbound #jetwithyourpet #JetBlue https://t.co/rrkN6wB23N,#JetPaws! Are you earning your TrueBlue points too?,other,auto,General positive travel/pet comment,other,ml,auto,ml
184,6fd5911d41c87632e1e0f9d7ac21b8d4,Thanks for humoring me @jetblue! My daughter will be excited to receive her wings &amp; see pic of female #rolemodel: pilot Kristin! #customerservice #girlpower https://t.co/dzSMlgiuIO,Love it! â¤,other,auto,Positive customer-service feedback,other,ml,auto,ml
185,6de78c085c44a2a5549f4c67ff0f791d,"1012 from ORD, plane delayed 1+ hr on the runway, now told to deplane. Virtually no other details, other than â€œsee the gate agent.â€ Here is the line to â€œsee the gate agent.â€ How about some basic info/customer service? Weâ€™ve all got nothing but time now, apparently... https://t.co/XGFKDWEG7j",Looks like that's a maintenance and deicing delay. We'll have you safely on your way as soon as possible! -Whit,flight_delay,human,Extended delay and lack of information require assistance,flight_delay,rule,human,ml
186,5c22804f6c01f4718d555c4aa093254e,fuck your corporation and that racist cracker you hired as a supervisor at the FLL airport!,We'd like to take a look into it.,other,human,Serious complaint about airport staff,boarding_airport,rule,human,ml
187,e3954af5ddf17ef4013d5282438dddc1,I spent $360 on a flight for next week but Iâ€™m not going anymore so how can I get a refund ??? @JetBlue,"Good morning! If you'll DM us your confirmation code, we'll be happy to take a look.  https://t.co/xSmyP7Lfyg",refund,human,Customer wants refund for unused flight,refund,rule,human,ml
188,2e0ff828b3533f90bebc3f746b869700,"every time I try to search for a multi-city trip from the website, it redirects me back to the home page. Any advice or suggestions?","Hi, Nick. What device are you using and what city pairs are you searching? We're happy to look into it.",account_app,human,Website multi-city search repeatedly fails,account_app,ml,human,ml
189,344df2ecce0149b26dc8286f0c637dcb,any engine problems going on with flight 877?,On our end we see that there is a maintenance issue. We're sorry for the wait!,flight_status,auto,Asking about possible engine problems on a specific flight,flight_status,ml,auto,ml
190,f437fa973be74c61e074d2cc6eefc98a,Sitting in a hot plain at the terminal for 2 hours delayed and the headphone jack is broke on my seat unreal. Get it together @JetBlue,...confirmation code at: 2/2 https://t.co/xSmyP7Lfyg,flight_delay,human,Delay combined with onboard equipment failure,flight_delay,rule,human,ml
191,40d1f767e44da9005040075e083c578c,did you guys change up your boarding passes? Have ktn # but precheck isn't on my boarding pass for my flight # 469 tomorrow,We haven't. Can you send us a DM with your confirmation code and KTN? We can take a look.  https://t.co/xSmyP7Lfyg,boarding_airport,human,Boarding-pass TSA PreCheck issue requires investigation,boarding_airport,rule,auto,ml
192,18fb2418d12f6b0018e2f4f434ba9403,thank you so much for the amazing flight and service today â¤ï¸,Thank YOU for flying with us. ðŸ’™,other,auto,Positive feedback about flight and service,other,rule,auto,ml
193,2e1357ed8e2438bcd0f404b11c09680d,I need your help to recover the money of my travel bank I donâ€™t know what happened but I had to have almost 95$but I only have 15$,Will you DM us your TrueBlue number and email address? We'll take a look.,travel_credit,human,Travel Bank balance appears incorrect,travel_credit,rule,human,ml
194,c8d57248e61fab679befa2b8501b1ee3,"needs more flights from SJU to NYC, canâ€™t buy my uncle a flight!!",Commercial flights are very limited due to airport restrictions. Please keep an eye on our website for availability.,booking,auto,Asking for more flights on a route,booking,ml,auto,ml
195,59648d652fad22ac8bf171feba88c928,#ontimedeparture #jetblue #cantbelievehes13 #teenager #directflight #nycbound ðŸ—½ @ Jacksonvilleâ€¦ https://t.co/5N4zOGpOrL,"Look at that cute family! :) Thanks for flying with us, Jay et al. Have a great time in the Big Apple! ðŸŽ",flight_status,auto,Positive comment about an on-time direct flight,other,ml,auto,ml
196,dff036fb4fc512823ac1eb85753b03b8,"thank you to you, the crew, and passengers of Friday's flight 1169 into Orlando.  You turned a difficult situation into an adventure.","We're so glad to hear this! Thanks for the shout out, Cindy. We can't wait to see you on your next flight! ðŸ’™",other,auto,Positive feedback about handling a difficult situation,other,rule,auto,ml
